year,pollutant,season,emission_Gg,baseline,emission_index
2002,BC,Annual,2.5531845092773438,13.581060568491617,18.799595925525818
2002,BC,Autumn,1.486676812171936,6.307509581247966,23.569949328206825
2002,BC,Spring,0.7915292978286743,6.707611799240112,11.800463734623769
2003,BC,Annual,12.710105895996094,13.581060568491617,93.58699073534684
2003,BC,Autumn,0.8884615898132324,6.307509581247966,14.08577471613522
2003,BC,Spring,11.023056030273438,6.707611799240112,164.33652334385556
2004,BC,Annual,8.398073196411133,13.581060568491617,61.83665225597228
2004,BC,Autumn,6.863536834716797,6.307509581247966,108.8153215830521
2004,BC,Spring,1.1690397262573242,6.707611799240112,17.428553727419967
2005,BC,Annual,3.248396635055542,13.581060568491617,23.9185785136096
2005,BC,Autumn,1.736851692199707,6.307509581247966,27.53625134971359
2005,BC,Spring,1.1310073137283325,6.707611799240112,16.86154994623364
2006,BC,Annual,3.890197277069092,13.581060568491617,28.644281920768705
2006,BC,Autumn,1.3115261793136597,6.307509581247966,20.793090560064897
2006,BC,Spring,2.3248090744018555,6.707611799240112,34.65926687446681
2007,BC,Annual,4.2492241859436035,13.581060568491617,31.28786713315972
2007,BC,Autumn,1.7391942739486694,6.307509581247966,27.573390916745353
2007,BC,Spring,0.98883455991745,6.707611799240112,14.74197657099763
2008,BC,Annual,7.002339839935303,13.581060568491617,51.55959510394127
2008,BC,Autumn,2.746084690093994,6.307509581247966,43.53675019785971
2008,BC,Spring,3.5428037643432617,6.707611799240112,52.817662535935916
2009,BC,Annual,6.013589859008789,13.581060568491617,44.27923598956962
2009,BC,Autumn,2.0306448936462402,6.307509581247966,32.194083377745244
2009,BC,Spring,3.7340447902679443,6.707611799240112,55.668767096673136
2010,BC,Annual,6.337146759033203,13.581060568491617,46.661648603022456
2010,BC,Autumn,4.252261161804199,6.307509581247966,67.41584942567575
2010,BC,Spring,1.527234673500061,6.707611799240112,22.768680108665166
2011,BC,Annual,11.520549774169922,13.581060568491617,84.8280568080071
2011,BC,Autumn,8.990814208984375,6.307509581247966,142.54142769301203
2011,BC,Spring,2.0994198322296143,6.707611799240112,31.299065823508926
2012,BC,Annual,4.6698150634765625,13.581060568491617,34.38475986412022
2012,BC,Autumn,0.8227686882019043,6.307509581247966,13.044271714591929
2012,BC,Spring,3.2676687240600586,6.707611799240112,48.715829446633215
2013,BC,Annual,7.717185020446777,13.581060568491617,56.82313970641461
2013,BC,Autumn,4.34323787689209,6.307509581247966,68.85820498480739
2013,BC,Spring,3.0940775871276855,6.707611799240112,46.12785712312996
2014,BC,Annual,19.842084884643555,13.581060568491617,146.10114419692422
2014,BC,Autumn,13.074951171875,6.307509581247966,207.2918162621018
2014,BC,Spring,6.1032891273498535,6.707611799240112,90.99049423285467
2015,BC,Annual,18.017650604248047,13.581060568491617,132.6674784592996
2015,BC,Autumn,9.956011772155762,6.307509581247966,157.8437835711686
2015,BC,Spring,7.578802585601807,6.707611799240112,112.9880919235724
2016,BC,Annual,12.289133071899414,13.581060568491617,90.48728565728139
2016,BC,Autumn,3.2830824851989746,6.307509581247966,52.05037650611707
2016,BC,Spring,8.176623344421387,6.707611799240112,121.9006643370103
2017,BC,Annual,18.95049476623535,13.581060568491617,139.53619211596
2017,BC,Autumn,6.3650054931640625,6.307509581247966,100.91154696121319
2017,BC,Spring,12.025209426879883,6.707611799240112,179.27706293679947
2018,BC,Annual,6.731536388397217,13.581060568491617,49.56561642920981
2018,BC,Autumn,0.7951279282569885,6.307509581247966,12.606051850018266
2018,BC,Spring,5.434921741485596,6.707611799240112,81.02618195795564
2019,BC,Annual,7.97902774810791,13.581060568491617,58.75113882209939
2019,BC,Autumn,1.1514655351638794,6.307509581247966,18.255470250685807
2019,BC,Spring,3.5430164337158203,6.707611799240112,52.82083310362713
2020,BC,Annual,8.843571662902832,13.581060568491617,65.11694442641783
2020,BC,Autumn,0.7779181003570557,6.307509581247966,12.33320521097237
2020,BC,Spring,7.688426971435547,6.707611799240112,114.62242004384552
2021,BC,Annual,8.999323844909668,13.581060568491617,66.26377814548823
2021,BC,Autumn,1.205910563468933,6.307509581247966,19.118648143699513
2021,BC,Spring,7.4212870597839355,6.707611799240112,110.63978181660235
2022,BC,Annual,8.563746452331543,13.581060568491617,63.05653677887011
2022,BC,Autumn,2.2955758571624756,6.307509581247966,36.39433008531851
2022,BC,Spring,5.804849147796631,6.707611799240112,86.54122095220607
2023,BC,Annual,8.626870155334473,13.581060568491617,63.52132892587944
2023,BC,Autumn,1.9523555040359497,6.307509581247966,30.95287417145181
2023,BC,Spring,6.1766357421875,6.707611799240112,92.08397753261801
2002,CO,Annual,406.2012023925781,2320.165771484375,17.507421555171998
2002,CO,Autumn,234.89208984375,1087.1589762369792,21.606047963361355
2002,CO,Spring,131.2277069091797,1139.2664540608723,11.51861414346253
2003,CO,Annual,1711.46240234375,2320.165771484375,73.76466041255344
2003,CO,Autumn,142.37237548828125,1087.1589762369792,13.095819341995377
2003,CO,Spring,1456.6634521484375,1139.2664540608723,127.85976862183692
2004,CO,Annual,1458.5244140625,2320.165771484375,62.86293988077318
2004,CO,Autumn,1198.78662109375,1087.1589762369792,110.26783085976545
2004,CO,Spring,202.12657165527344,1139.2664540608723,17.741817196038813
2005,CO,Annual,532.348876953125,2320.165771484375,22.94443282871739
2005,CO,Autumn,287.1724853515625,1087.1589762369792,26.41494865319169
2005,CO,Spring,193.92645263671875,1139.2664540608723,17.02204536484641
2006,CO,Annual,603.3118286132812,2320.165771484375,26.00296220331273
2006,CO,Autumn,214.28439331054688,1087.1589762369792,19.71049294485493
2006,CO,Spring,353.51641845703125,1139.2664540608723,31.030178866141046
2007,CO,Annual,690.62158203125,2320.165771484375,29.766044759353992
2007,CO,Autumn,295.4453125,1087.1589762369792,27.17590701616014
2007,CO,Spring,164.89242553710938,1139.2664540608723,14.473561031254501
2008,CO,Annual,1137.041015625,2320.165771484375,49.00688690435916
2008,CO,Autumn,456.5472717285156,1087.1589762369792,41.994527176584455
2008,CO,Spring,564.501708984375,1139.2664540608723,49.54957700827843
2009,CO,Annual,955.919677734375,2320.165771484375,41.20049047714402
2009,CO,Autumn,324.1587829589844,1087.1589762369792,29.817054363199606
2009,CO,Spring,588.5245971679688,1139.2664540608723,51.65820472201169
2010,CO,Annual,1026.5919189453125,2320.165771484375,44.246490124217665
2010,CO,Autumn,709.8799438476562,1087.1589762369792,65.29679277494338
2010,CO,Spring,264.81903076171875,1139.2664540608723,23.244696604361632
2011,CO,Annual,1989.822509765625,2320.165771484375,85.76208365028134
2011,CO,Autumn,1556.1302490234375,1087.1589762369792,143.13732241900118
2011,CO,Spring,363.0325012207031,1139.2664540608723,31.86546043962652
2012,CO,Annual,732.363525390625,2320.165771484375,31.565137904869616
2012,CO,Autumn,145.2823486328125,1087.1589762369792,13.363487016009682
2012,CO,Spring,495.2050476074219,1139.2664540608723,43.4670086038505
2013,CO,Annual,1297.750244140625,2320.165771484375,55.933513893292286
2013,CO,Autumn,731.6632690429688,1087.1589762369792,67.30048548883806
2013,CO,Spring,519.3065185546875,1139.2664540608723,45.582533980846975
2014,CO,Annual,3442.81396484375,2320.165771484375,148.3865509592936
2014,CO,Autumn,2306.432373046875,1087.1589762369792,212.15226323478547
2014,CO,Spring,1024.9482421875,1139.2664540608723,89.96562994847348
2015,CO,Annual,3063.390625,2320.165771484375,132.0332651507108
