year,pollutant,season,emission_Gg
1997,BC,Annual,7.197950368
1997,CO,Annual,1392.087063104
1997,NOx,Annual,45.910067786
1997,OC,Annual,124.452708352
1997,PM2.5,Annual,201.705546704
1998,BC,Annual,5.389592875
1998,CO,Annual,1045.868745728
1998,NOx,Annual,34.315808368
1998,OC,Annual,93.32098092800001
1998,PM2.5,Annual,151.241854624
1999,BC,Annual,4.7118529124999995
1999,CO,Annual,916.276299968
1999,NOx,Annual,30.554747027
1999,OC,Annual,80.39412677600001
1999,PM2.5,Annual,131.066742872
2000,BC,Annual,5.501663622000001
2000,CO,Annual,1130.725232448
2000,NOx,Annual,34.392714917999996
2000,OC,Annual,96.564088748
2000,PM2.5,Annual,158.251974208
2001,BC,Annual,5.04414817
2001,CO,Annual,940.23655616
2001,NOx,Annual,28.896386128
2001,OC,Annual,95.212943024
2001,PM2.5,Annual,150.745531424
2002,BC,Annual,2.1671644055
2002,CO,Annual,418.840694272
2002,NOx,Annual,13.382132768
2002,OC,Annual,38.698184336
2002,PM2.5,Annual,61.87166352
2003,BC,Annual,4.4950340525
2003,CO,Annual,900.178226816
2003,NOx,Annual,26.717117209999998
2003,OC,Annual,82.032673752
2003,PM2.5,Annual,132.550401032
2004,BC,Annual,3.5693783609999996
2004,CO,Annual,625.789159936
2004,NOx,Annual,21.914537352
2004,OC,Annual,63.996679359999995
2004,PM2.5,Annual,102.031680704
2005,BC,Annual,2.3588162658750003
2005,CO,Annual,405.748189808
2005,NOx,Annual,14.250110323
2005,OC,Annual,42.579012804
2005,PM2.5,Annual,65.570383816
2006,BC,Annual,2.338348203125
2006,CO,Annual,438.066437152
2006,NOx,Annual,13.7754572
2006,OC,Annual,42.899310476
2006,PM2.5,Annual,67.40608809599999
2007,BC,Annual,3.534212156
2007,CO,Annual,529.591603712
2007,NOx,Annual,22.137084288
2007,OC,Annual,61.91103728
2007,PM2.5,Annual,92.303467648
2008,BC,Annual,5.840818854
2008,CO,Annual,981.612841216
2008,NOx,Annual,32.895923956
2008,OC,Annual,110.948659072
2008,PM2.5,Annual,167.014245376
2009,BC,Annual,4.3389559808125
2009,CO,Annual,655.124671392
2009,NOx,Annual,25.854746406875
2009,OC,Annual,79.5450028265
2009,PM2.5,Annual,118.259522934
2010,BC,Annual,4.192836434375
2010,CO,Annual,628.3923358760001
2010,NOx,Annual,23.3315690105
2010,OC,Annual,80.112359265
2010,PM2.5,Annual,116.123176716
2011,BC,Annual,7.665919588999999
2011,CO,Annual,1090.462895616
2011,NOx,Annual,41.43343952
2011,OC,Annual,149.37523704
2011,PM2.5,Annual,212.127144448
2012,BC,Annual,3.7681061303749996
2012,CO,Annual,668.92521658
2012,NOx,Annual,21.128431843125
2012,OC,Annual,71.5457226795
2012,PM2.5,Annual,108.357994373
2013,BC,Annual,4.5496070994375
2013,CO,Annual,672.445302384
2013,NOx,Annual,24.822663302
2013,OC,Annual,88.109851334
2013,PM2.5,Annual,126.633960812
2014,BC,Annual,12.925577552
2014,CO,Annual,1759.661376256
2014,NOx,Annual,68.53279637600001
2014,OC,Annual,254.37379376
2014,PM2.5,Annual,355.41186921599996
2015,BC,Annual,11.27376043
2015,CO,Annual,1569.6762624
2015,NOx,Annual,60.644802776
2015,OC,Annual,220.056548736
2015,PM2.5,Annual,310.751020832
2016,BC,Annual,7.022849397
2016,CO,Annual,978.819199936
2016,NOx,Annual,39.177041569
2016,OC,Annual,134.05277766
2016,PM2.5,Annual,190.404795296
2017,BC,Annual,11.54599485
2017,CO,Annual,1608.6990991359999
2017,NOx,Annual,60.224198544
2017,OC,Annual,229.69534214400002
2017,PM2.5,Annual,321.68266272
2018,BC,Annual,4.8761662260000005
2018,CO,Annual,742.976027392
2018,NOx,Annual,27.705697616000002
2018,OC,Annual,92.11038527999999
2018,PM2.5,Annual,135.209628928
2019,BC,Annual,6.2588411505
2019,CO,Annual,895.094010048
2019,NOx,Annual,37.168742264
2019,OC,Annual,114.287024
2019,PM2.5,Annual,166.594675456
2020,BC,Annual,5.370232086
2020,CO,Annual,767.691258624
2020,NOx,Annual,29.357731696
2020,OC,Annual,103.75412963199999
2020,PM2.5,Annual,148.098350688
2021,BC,Annual,4.212038765875
2021,CO,Annual,620.902082144
2021,NOx,Annual,22.940729202
2021,OC,Annual,81.66793728
2021,PM2.5,Annual,117.39676953200001
2022,BC,Annual,4.52987327825
2022,CO,Annual,657.309889088
2022,NOx,Annual,25.295791784
2022,OC,Annual,86.41622856
2022,PM2.5,Annual,124.817455904
1997,BC,Spring,3.25603328
1997,CO,Spring,667.3360568319999
1997,NOx,Spring,20.383723264
1997,OC,Spring,57.234817024
1997,PM2.5,Spring,94.454335488
1998,BC,Spring,3.444217664
1998,CO,Spring,693.4881894399999
1998,NOx,Spring,21.831519488
1998,OC,Spring,59.893608448
1998,PM2.5,Spring,98.319775744
1999,BC,Spring,2.702398336
1999,CO,Spring,548.330176512
1999,NOx,Spring,17.239142144
1999,OC,Spring,46.738205184
1999,PM2.5,Spring,77.15601408
2000,BC,Spring,2.723824544
2000,CO,Spring,565.00076544
2000,NOx,Spring,17.051780864
2000,OC,Spring,47.834389504
2000,PM2.5,Spring,79.119978496
2001,BC,Spring,2.040098224
2001,CO,Spring,379.034099712
2001,NOx,Spring,12.566059840000001
2001,OC,Spring,36.647312384
2001,PM2.5,Spring,59.54524979200001
2002,BC,Spring,1.104406032
2002,CO,Spring,208.826867712
2002,NOx,Spring,7.136038272
2002,OC,Spring,19.149961728
2002,PM2.5,Spring,30.860152831999997
2003,BC,Spring,3.753633408
2003,CO,Spring,768.024838144
2003,NOx,Spring,21.949794816
2003,OC,Spring,69.308491776
2003,PM2.5,Spring,112.555524096
2004,BC,Spring,0.682625464
2004,CO,Spring,107.299529728
2004,NOx,Spring,4.19638688
2004,OC,Spring,12.205075328
2004,PM2.5,Spring,18.712640256
2005,BC,Spring,0.801792324
2005,CO,Spring,134.78406860799998
2005,NOx,Spring,5.02976256
2005,OC,Spring,14.14244544
2005,PM2.5,Spring,22.045777792
2006,BC,Spring,1.325711968
2006,CO,Spring,289.48826112
2006,NOx,Spring,8.013299712
2006,OC,Spring,23.852390912
2006,PM2.5,Spring,39.938875392
2007,BC,Spring,0.937468176
2007,CO,Spring,143.787579392
2007,NOx,Spring,6.249231679999999
2007,OC,Spring,15.570162176
2007,PM2.5,Spring,23.89143808
2008,BC,Spring,2.855885152
2008,CO,Spring,536.905889792
2008,NOx,Spring,16.6101216
2008,OC,Spring,53.161078272
2008,PM2.5,Spring,84.08632166400001
2009,BC,Spring,2.6038966720000003
2009,CO,Spring,412.039327744
2009,NOx,Spring,16.500720128
2009,OC,Spring,45.704961536
2009,PM2.5,Spring,70.439822336
2010,BC,Spring,1.073568128
2010,CO,Spring,153.64705894399998
2010,NOx,Spring,5.932863104
2010,OC,Spring,20.569779456
2010,PM2.5,Spring,29.295367168
2011,BC,Spring,1.546432304
2011,CO,Spring,233.72942745599997
2011,NOx,Spring,9.81438144
2011,OC,Spring,26.950418176
2011,PM2.5,Spring,40.687407104
2012,BC,Spring,2.514238272
2012,CO,Spring,478.38110515200003
2012,NOx,Spring,14.09780224
2012,OC,Spring,47.724997632
2012,PM2.5,Spring,73.962450944
2013,BC,Spring,1.9020270240000001
2013,CO,Spring,286.38060544
2013,NOx,Spring,10.805090944
2013,OC,Spring,35.886851072
2013,PM2.5,Spring,52.570354175999995
2014,BC,Spring,3.5817259519999998
2014,CO,Spring,507.32566118399996
2014,NOx,Spring,20.82282048
2014,OC,Spring,66.37796198400001
2014,PM2.5,Spring,95.94154112
2015,BC,Spring,4.619281984
2015,CO,Spring,648.2429952
2015,NOx,Spring,26.247575807999997
2015,OC,Spring,87.048608768
2015,PM2.5,Spring,125.074696192
2016,BC,Spring,4.4383284
2016,CO,Spring,619.785895936
2016,NOx,Spring,25.285504896
2016,OC,Spring,83.618548992
2016,PM2.5,Spring,119.62709273600001
2017,BC,Spring,7.106958720000001
2017,CO,Spring,979.189706752
2017,NOx,Spring,36.902760448
2017,OC,Spring,141.846774784
2017,PM2.5,Spring,198.193020928
2018,BC,Spring,3.7868169280000004
2018,CO,Spring,574.427959296
2018,NOx,Spring,20.748242432
2018,OC,Spring,73.37039616
2018,PM2.5,Spring,106.938626048
2019,BC,Spring,2.862098704
2019,CO,Spring,408.775921664
2019,NOx,Spring,17.358948224
2019,OC,Spring,51.49104768
2019,PM2.5,Spring,75.858609152
2020,BC,Spring,4.53744656
2020,CO,Spring,625.082888192
2020,NOx,Spring,24.522095872
2020,OC,Spring,88.302601216
2020,PM2.5,Spring,124.68806963200001
2021,BC,Spring,3.3878367519999997
2021,CO,Spring,467.291291648
2021,NOx,Spring,17.408151936
2021,OC,Spring,68.072634496
2021,PM2.5,Spring,95.360767232
2022,BC,Spring,3.368240144
2022,CO,Spring,470.67349196800006
2022,NOx,Spring,17.805447872
2022,OC,Spring,66.54725504
2022,PM2.5,Spring,94.404900096
1997,BC,Autumn,3.5190458880000004
1997,CO,Autumn,645.590892544
1997,NOx,Autumn,23.104575488000002
1997,OC,Autumn,59.30149888
1997,PM2.5,Autumn,95.031375872
1998,BC,Autumn,1.5576955840000002
1998,CO,Autumn,288.634712064
1998,NOx,Autumn,10.292986496
1998,OC,Autumn,26.106372864
1998,PM2.5,Autumn,42.101054464
1999,BC,Autumn,1.76612816
1999,CO,Autumn,321.24544204800003
1999,NOx,Autumn,11.80366592
1999,OC,Autumn,29.285662208
1999,PM2.5,Autumn,47.037516288
2000,BC,Autumn,1.59240832
2000,CO,Autumn,288.35463168
2000,NOx,Autumn,10.681143936
2000,OC,Autumn,26.306169856
2000,PM2.5,Autumn,42.030132736
2001,BC,Autumn,2.820241312
2001,CO,Autumn,531.641319424
2001,NOx,Autumn,15.288257792
2001,OC,Autumn,55.058126848
2001,PM2.5,Autumn,85.959421952
2002,BC,Autumn,0.7311709120000001
2002,CO,Autumn,142.62883328
2002,NOx,Autumn,4.337250944
2002,OC,Autumn,13.3564864
2002,PM2.5,Autumn,21.228621312
2003,BC,Autumn,0.34505105599999997
2003,CO,Autumn,58.653328896
2003,NOx,Autumn,2.483024096
2003,OC,Autumn,5.312795008
2003,PM2.5,Autumn,8.5684384
2004,BC,Autumn,2.637955392
2004,CO,Autumn,472.98416844800005
2004,NOx,Autumn,16.253835264
2004,OC,Autumn,47.185643008
2004,PM2.5,Autumn,76.066740736
2005,BC,Autumn,1.24550216
2005,CO,Autumn,198.57159168
2005,NOx,Autumn,7.716219327999999
2005,OC,Autumn,22.001325568
2005,PM2.5,Autumn,33.299940096
2006,BC,Autumn,0.8502822720000001
2006,CO,Autumn,121.846925312
2006,NOx,Autumn,4.789581184
2006,OC,Autumn,16.106069248
2006,PM2.5,Autumn,23.025997824
2007,BC,Autumn,1.57285104
2007,CO,Autumn,227.77622528
2007,NOx,Autumn,9.323563584
2007,OC,Autumn,28.746772992
2007,PM2.5,Autumn,41.726454784
2008,BC,Autumn,2.199256448
2008,CO,Autumn,309.600432128
2008,NOx,Autumn,11.729272448000001
2008,OC,Autumn,43.157172224
2008,PM2.5,Autumn,60.914194432
2009,BC,Autumn,1.503500608
2009,CO,Autumn,209.164414976
2009,NOx,Autumn,7.949258496000001
2009,OC,Autumn,29.664991743999998
2009,PM2.5,Autumn,41.675512831999995
2010,BC,Autumn,2.895690144
2010,CO,Autumn,426.449092608
2010,NOx,Autumn,16.105198976
2010,OC,Autumn,55.397764095999996
2010,PM2.5,Autumn,80.10857011200001
2011,BC,Autumn,5.7436056319999995
2011,CO,Autumn,799.17899776
2011,NOx,Autumn,29.390058752
2011,OC,Autumn,115.51544371199999
2011,PM2.5,Autumn,161.327582208
2012,BC,Autumn,0.70605728
2012,CO,Autumn,98.068955136
2012,NOx,Autumn,3.7198666879999998
2012,OC,Autumn,13.942370815999999
2012,PM2.5,Autumn,19.476036352
2013,BC,Autumn,2.4310940640000003
2013,CO,Autumn,353.27184896
2013,NOx,Autumn,12.717717632
2013,OC,Autumn,48.271319552
2013,PM2.5,Autumn,68.225324288
2014,BC,Autumn,8.840954656
2014,CO,Autumn,1175.8878924800001
2014,NOx,Autumn,44.479708288000005
2014,OC,Autumn,179.372831744
2014,PM2.5,Autumn,246.623645184
2015,BC,Autumn,6.103949504
2015,CO,Autumn,823.260844032
2015,NOx,Autumn,30.804843136
2015,OC,Autumn,123.685791232
2015,PM2.5,Autumn,170.876589056
2016,BC,Autumn,1.7857247040000002
2016,CO,Autumn,245.828827136
2016,NOx,Autumn,9.176610432
2016,OC,Autumn,35.807273472
2016,PM2.5,Autumn,49.683650816
2017,BC,Autumn,3.839800736
2017,CO,Autumn,540.839165952
2017,NOx,Autumn,19.633081216
2017,OC,Autumn,77.227615488
2017,PM2.5,Autumn,107.81290444800001
2018,BC,Autumn,0.450657584
2018,CO,Autumn,76.61391155199999
2018,NOx,Autumn,2.823786272
2018,OC,Autumn,7.875589888
2018,PM2.5,Autumn,12.170650496
2019,BC,Autumn,0.656751792
2019,CO,Autumn,102.446567424
2019,NOx,Autumn,4.181242048
2019,OC,Autumn,11.3536448
2019,PM2.5,Autumn,17.10152064
2020,BC,Autumn,0.359938616
2020,CO,Autumn,70.188198912
2020,NOx,Autumn,1.8841401600000003
2020,OC,Autumn,7.174099007999999
2020,PM2.5,Autumn,11.111326975999999
2021,BC,Autumn,0.38975956
2021,CO,Autumn,83.781357056
2021,NOx,Autumn,2.337133904
2021,OC,Autumn,7.053092864000001
2021,PM2.5,Autumn,11.582012256
2022,BC,Autumn,0.885351288
2022,CO,Autumn,142.527819776
2022,NOx,Autumn,5.434616608000001
2022,OC,Autumn,15.779692288
2022,PM2.5,Autumn,23.868558336
