year,month,pollutant,emission_Gg
1997,1,CO,0.827413056
1997,2,CO,4.886274048
1997,3,CO,103.270424576
1997,4,CO,370.742329344
1997,5,CO,193.323302912
1997,6,CO,14.255440896
1997,7,CO,31.585947648
1997,8,CO,20.427892736
1997,9,CO,100.0665088
1997,10,CO,401.362550784
1997,11,CO,144.16183296
1997,12,CO,7.177145344
1997,1,PM2.5,0.155616272
1997,2,PM2.5,0.889339584
1997,3,PM2.5,14.432053248
1997,4,PM2.5,54.688456704
1997,5,PM2.5,25.333825536
1997,6,PM2.5,2.1490752
1997,7,PM2.5,4.180966144
1997,8,PM2.5,3.802020608
1997,9,PM2.5,17.288175616
1997,10,PM2.5,57.697554432
1997,11,PM2.5,20.045645824
1997,12,PM2.5,1.042817536
1997,1,OC,0.104959296
1997,2,OC,0.628844288
1997,3,OC,9.016915968
1997,4,OC,33.457774592
1997,5,OC,14.760126464
1997,6,OC,1.32450368
1997,7,OC,2.528529408
1997,8,OC,2.658664704
1997,9,OC,11.520211968
1997,10,OC,35.364462592
1997,11,OC,12.41682432
1997,12,OC,0.670891072
1997,1,BC,0.00518686
1997,2,BC,0.033642664
1997,3,BC,0.50849184
1997,4,BC,1.98067008
1997,5,BC,0.76687136
1997,6,BC,0.07205432
1997,7,BC,0.133783112
1997,8,BC,0.135585616
1997,9,BC,0.629909888
1997,10,BC,2.068160384
1997,11,BC,0.820975616
1997,12,BC,0.042618628
1997,1,NOx,0.026714858
1997,2,NOx,0.194249056
1997,3,NOx,3.156651008
1997,4,NOx,13.007578112
1997,5,NOx,4.219494144
1997,6,NOx,0.4262696
1997,7,NOx,0.750810048
1997,8,NOx,0.723598272
1997,9,NOx,3.740620288
1997,10,NOx,13.358604288
1997,11,NOx,6.005350912
1997,12,NOx,0.3001272
1998,1,CO,6.007778816
1998,2,CO,10.537327616
1998,3,CO,182.127509504
1998,4,CO,321.46292736
1998,5,CO,189.897752576
1998,6,CO,9.99266304
1998,7,CO,16.448008192
1998,8,CO,18.993432576
1998,9,CO,49.466925056
1998,10,CO,199.089831936
1998,11,CO,40.077955072
1998,12,CO,1.766633984
1998,1,PM2.5,1.107800192
1998,2,PM2.5,1.963260416
1998,3,PM2.5,25.423235072
1998,4,PM2.5,48.492920832
1998,5,PM2.5,24.40361984
1998,6,PM2.5,1.39623552
1998,7,PM2.5,3.209017088
1998,8,PM2.5,2.878582784
1998,9,PM2.5,8.38514176
1998,10,PM2.5,28.205088768
1998,11,PM2.5,5.510823936
1998,12,PM2.5,0.266128416
1998,1,OC,0.761339712
1998,2,OC,1.364560512
1998,3,OC,15.72661248
1998,4,OC,29.98380544
1998,5,OC,14.183190528
1998,6,OC,0.86638336
1998,7,OC,2.296534272
1998,8,OC,1.85302464
1998,9,OC,5.551389696
1998,10,OC,17.138418688
